Time	 Velocity	 Time	 Velocity	 Time	 Velocity	 Time	 Velocity	 Time	 Velocity	 Time	 Velocity	
ns	 km/s	 ns	 km/s	 ns	 km/s	 ns	 km/s	 ns	 km/s	 ns	 km/s	
1_Ch1.txt	 1_Ch1.txt	 2_Ch1.txt	 2_Ch1.txt	 3_Ch1.txt	 3_Ch1.txt	 4_Ch1.txt	 4_Ch1.txt	 5_Ch1.txt	 5_Ch1.txt	 6_Ch1.txt	 6_Ch1.txt	
-311.42	0	-316.82	0	-310.7	0	-226.14	0	-311.7	0	-317.78	0
-311.34	0	-316.74	0	-310.62	0	-226.06	0	-311.62	0	-317.7	0
-311.26	0	-316.66	0	-310.54	0	-225.98	0	-311.54	0	-317.62	0
-311.18	0	-316.58	0	-310.46	0	-225.9	0	-311.46	0	-317.54	0
-311.1	0	-316.5	0	-310.38	0	-225.82	0	-311.38	0	-317.46	0
-311.02	0	-316.42	0	-310.3	0	-225.74	0	-311.3	0	-317.38	0
-310.94	0	-316.34	0	-310.22	0	-225.66	0	-311.22	0	-317.3	0
-310.86	0	-316.26	0	-310.14	0	-225.58	0	-311.14	0	-317.22	0
-310.78	0	-316.18	0	-310.06	0	-225.5	0	-311.06	0	-317.14	0
-310.7	0	-316.1	0	-309.98	0	-225.42	0	-310.98	0	-317.06	0
-310.62	0	-316.02	0	-309.9	0	-225.34	0	-310.9	0	-316.98	0
-310.54	0	-315.94	0	-309.82	0	-225.26	0	-310.82	0	-316.9	0
-310.46	0	-315.86	0	-309.74	0	-225.18	0	-310.74	0	-316.82	0
-310.38	0	-315.78	0	-309.66	0	-225.1	0	-310.66	0	-316.74	0
-310.3	0	-315.7	0	-309.58	0	-225.02	0	-310.58	0	-316.66	0
-310.22	0	-315.62	0	-309.5	0	-224.94	0	-310.5	0	-316.58	0
-310.14	0	-315.54	0	-309.42	0	-224.86	0	-310.42	0	-316.5	0
-310.06	0	-315.46	0	-309.34	0	-224.78	0	-310.34	0	-316.42	0
-309.98	0	-315.38	0	-309.26	0	-224.7	0	-310.26	0	-316.34	0
-309.9	0	-315.3	0	-309.18	0	-224.62	0	-310.18	0	-316.26	0
-309.82	0	-315.22	0	-309.1	0	-224.54	0	-310.1	0	-316.18	0
-309.74	0	-315.14	0	-309.02	0	-224.46	0	-310.02	0	-316.1	0
-309.66	0	-315.06	0	-308.94	0	-224.38	0	-309.94	0	-316.02	0
-309.58	0	-314.98	0	-308.86	0	-224.3	0	-309.86	0	-315.94	0
-309.5	0	-314.9	0	-308.78	0	-224.22	0	-309.78	0	-315.86	0
-309.42	0	-314.82	0	-308.7	0	-224.14	0	-309.7	0	-315.78	0
-309.34	0	-314.74	0	-308.62	0	-224.06	0	-309.62	0	-315.7	0
-309.26	0	-314.66	0	-308.54	0	-223.98	0	-309.54	0	-315.62	0
-309.18	0	-314.58	0	-308.46	0	-223.9	0	-309.46	0	-315.54	0
-309.1	0	-314.5	0	-308.38	0	-223.82	0	-309.38	0	-315.46	0
-309.02	0	-314.42	0	-308.3	0	-223.74	0	-309.3	0	-315.38	0
-308.94	0	-314.34	0	-308.22	0	-223.66	0	-309.22	0	-315.3	0
-308.86	0	-314.26	0	-308.14	0	-223.58	0	-309.14	0	-315.22	0
-308.78	0	-314.18	0	-308.06	0	-223.5	0	-309.06	0	-315.14	0
-308.7	0	-314.1	0	-307.98	0	-223.42	0	-308.98	0	-315.06	0
-308.62	0	-314.02	0	-307.9	0	-223.34	0	-308.9	0	-314.98	0
-308.54	0	-313.94	0	-307.82	0	-223.26	0	-308.82	0	-314.9	0
-308.46	0	-313.86	0	-307.74	0	-223.18	0	-308.74	0	-314.82	0
-308.38	0	-313.78	0	-307.66	0	-223.1	0	-308.66	0	-314.74	0
-308.3	0	-313.7	0	-307.58	0	-223.02	0	-308.58	0	-314.66	0
-308.22	0	-313.62	0	-307.5	0	-222.94	0	-308.5	0	-314.58	0
-308.14	0	-313.54	0	-307.42	0	-222.86	0	-308.42	0	-314.5	0
-308.06	0	-313.46	0	-307.34	0	-222.78	0	-308.34	0	-314.42	0
-307.98	0	-313.38	0	-307.26	0	-222.7	0	-308.26	0	-314.34	0
-307.9	0	-313.3	0	-307.18	0	-222.62	0	-308.18	0	-314.26	0
-307.82	0	-313.22	0	-307.1	0	-222.54	0	-308.1	0	-314.18	0
-307.74	0	-313.14	0	-307.02	0	-222.46	0	-308.02	0	-314.1	0
-307.66	0	-313.06	0	-306.94	0	-222.38	0	-307.94	0	-314.02	0
-307.58	0	-312.98	0	-306.86	0	-222.3	0	-307.86	0	-313.94	0
-307.5	0	-312.9	0	-306.78	0	-222.22	0	-307.78	0	-313.86	0
-307.42	0	-312.82	0	-306.7	0	-222.14	0	-307.7	0	-313.78	0
-307.34	0	-312.74	0	-306.62	0	-222.06	0	-307.62	0	-313.7	0
-307.26	0	-312.66	0	-306.54	0	-221.98	0	-307.54	0	-313.62	0
-307.18	0	-312.58	0	-306.46	0	-221.9	0	-307.46	0	-313.54	0
-307.1	0	-312.5	0	-306.38	0	-221.82	0	-307.38	0	-313.46	0
-307.02	0	-312.42	0	-306.3	0	-221.74	0	-307.3	0	-313.38	0
-306.94	0	-312.34	0	-306.22	0	-221.66	0	-307.22	0	-313.3	0
-306.86	0	-312.26	0	-306.14	0	-221.58	0	-307.14	0	-313.22	0
-306.78	0	-312.18	0	-306.06	0	-221.5	0	-307.06	0	-313.14	0
-306.7	0	-312.1	0	-305.98	0	-221.42	0	-306.98	0	-313.06	0
-306.62	0	-312.02	0	-305.9	0	-221.34	0	-306.9	0	-312.98	0
-306.54	0	-311.94	0	-305.82	0	-221.26	0	-306.82	0	-312.9	0
-306.46	0	-311.86	0	-305.74	0	-221.18	0	-306.74	0	-312.82	0
-306.38	0	-311.78	0	-305.66	0	-221.1	0	-306.66	0	-312.74	0
-306.3	0	-311.7	0	-305.58	0	-221.02	0	-306.58	0	-312.66	0
-306.22	0	-311.62	0	-305.5	0	-220.94	0	-306.5	0	-312.58	0
-306.14	0	-311.54	0	-305.42	0	-220.86	0	-306.42	0	-312.5	0
-306.06	0	-311.46	0	-305.34	0	-220.78	0	-306.34	0	-312.42	0
-305.98	0	-311.38	0	-305.26	0	-220.7	0	-306.26	0	-312.34	0
-305.9	0	-311.3	0	-305.18	0	-220.62	0	-306.18	0	-312.26	0
-305.82	0	-311.22	0	-305.1	0	-220.54	0	-306.1	0	-312.18	0
-305.74	0	-311.14	0	-305.02	0	-220.46	0	-306.02	0	-312.1	0
-305.66	0	-311.06	0	-304.94	0	-220.38	0	-305.94	0	-312.02	0
-305.58	0	-310.98	0	-304.86	0	-220.3	0	-305.86	0	-311.94	0
-305.5	0	-310.9	0	-304.78	0	-220.22	0	-305.78	0	-311.86	0
-305.42	0	-310.82	0	-304.7	0	-220.14	0	-305.7	0	-311.78	0
-305.34	0	-310.74	0	-304.62	0	-220.06	0	-305.62	0	-311.7	0
-305.26	0	-310.66	0	-304.54	0	-219.98	0	-305.54	0	-311.62	0
-305.18	0	-310.58	0	-304.46	0	-219.9	0	-305.46	0	-311.54	0
-305.1	0	-310.5	0	-304.38	0	-219.82	0	-305.38	0	-311.46	0
-305.02	0	-310.42	0	-304.3	0	-219.74	0	-305.3	0	-311.38	0
-304.94	0	-310.34	0	-304.22	0	-219.66	0	-305.22	0	-311.3	0
-304.86	0	-310.26	0	-304.14	0	-219.58	0	-305.14	0	-311.22	0
-304.78	0	-310.18	0	-304.06	0	-219.5	0	-305.06	0	-311.14	0
-304.7	0	-310.1	0	-303.98	0	-219.42	0	-304.98	0	-311.06	0
-304.62	0	-310.02	0	-303.9	0	-219.34	0	-304.9	0	-310.98	0
-304.54	0	-309.94	0	-303.82	0	-219.26	0	-304.82	0	-310.9	0
-304.46	0	-309.86	0	-303.74	0	-219.18	0	-304.74	0	-310.82	0
-304.38	0	-309.78	0	-303.66	0	-219.1	0	-304.66	0	-310.74	0
-304.3	0	-309.7	0	-303.58	0	-219.02	0	-304.58	0	-310.66	0
-304.22	0	-309.62	0	-303.5	0	-218.94	0	-304.5	0	-310.58	0
-304.14	0	-309.54	0	-303.42	0	-218.86	0	-304.42	0	-310.5	0
-304.06	0	-309.46	0	-303.34	0	-218.78	0	-304.34	0	-310.42	0
-303.98	0	-309.38	0	-303.26	0	-218.7	0	-304.26	0	-310.34	0
-303.9	0	-309.3	0	-303.18	0	-218.62	0	-304.18	0	-310.26	0
-303.82	0	-309.22	0	-303.1	0	-218.54	0	-304.1	0	-310.18	0
-303.74	0	-309.14	0	-303.02	0	-218.46	0	-304.02	0	-310.1	0
-303.66	0	-309.06	0	-302.94	0	-218.38	0	-303.94	0	-310.02	0
-303.58	0	-308.98	0	-302.86	0	-218.3	0	-303.86	0	-309.94	0
-303.5	0	-308.9	0	-302.78	0	-218.22	0	-303.78	0	-309.86	0
-303.42	0	-308.82	0	-302.7	0	-218.14	0	-303.7	0	-309.78	0
-303.34	0	-308.74	0	-302.62	0	-218.06	0	-303.62	0	-309.7	0
-303.26	0	-308.66	0	-302.54	0	-217.98	0	-303.54	0	-309.62	0
-303.18	0	-308.58	0	-302.46	0	-217.9	0	-303.46	0	-309.54	0
-303.1	0	-308.5	0	-302.38	0	-217.82	0	-303.38	0	-309.46	0
-303.02	0	-308.42	0	-302.3	0	-217.74	0	-303.3	0	-309.38	0
-302.94	0	-308.34	0	-302.22	0	-217.66	0	-303.22	0	-309.3	0
-302.86	0	-308.26	0	-302.14	0	-217.58	0	-303.14	0	-309.22	0
-302.78	0	-308.18	0	-302.06	0	-217.5	0	-303.06	0	-309.14	0
-302.7	0	-308.1	0	-301.98	0	-217.42	0	-302.98	0	-309.06	0
-302.62	0	-308.02	0	-301.9	0	-217.34	0	-302.9	0	-308.98	0
-302.54	0	-307.94	0	-301.82	0	-217.26	0	-302.82	0	-308.9	0
-302.46	0	-307.86	0	-301.74	0	-217.18	0	-302.74	0	-308.82	0
-302.38	0	-307.78	0	-301.66	0	-217.1	0	-302.66	0	-308.74	0
-302.3	0	-307.7	0	-301.58	0	-217.02	0	-302.58	0	-308.66	0
-302.22	0	-307.62	0	-301.5	0	-216.94	0	-302.5	0	-308.58	0
-302.14	0	-307.54	0	-301.42	0	-216.86	0	-302.42	0	-308.5	0
-302.06	0	-307.46	0	-301.34	0	-216.78	0	-302.34	0	-308.42	0
-301.98	0	-307.38	0	-301.26	0	-216.7	0	-302.26	0	-308.34	0
-301.9	0	-307.3	0	-301.18	0	-216.62	0	-302.18	0	-308.26	0
-301.82	0	-307.22	0	-301.1	0	-216.54	0	-302.1	0	-308.18	0
-301.74	0	-307.14	0	-301.02	0	-216.46	0	-302.02	0	-308.1	0
-301.66	0	-307.06	0	-300.94	0	-216.38	0	-301.94	0	-308.02	0
-301.58	0	-306.98	0	-300.86	0	-216.3	0	-301.86	0	-307.94	0
-301.5	0	-306.9	0	-300.78	0	-216.22	0	-301.78	0	-307.86	0
-301.42	0	-306.82	0	-300.7	0	-216.14	0	-301.7	0	-307.78	0
-301.34	0	-306.74	0	-300.62	0	-216.06	0	-301.62	0	-307.7	0
-301.26	0	-306.66	0	-300.54	0	-215.98	0	-301.54	0	-307.62	0
-301.18	0	-306.58	0	-300.46	0	-215.9	0	-301.46	0	-307.54	0
-301.1	0	-306.5	0	-300.38	0	-215.82	0	-301.38	0	-307.46	0
-301.02	0	-306.42	0	-300.3	0	-215.74	0	-301.3	0	-307.38	0
-300.94	0	-306.34	0	-300.22	0	-215.66	0	-301.22	0	-307.3	0
-300.86	0	-306.26	0	-300.14	0	-215.58	0	-301.14	0	-307.22	0
-300.78	0	-306.18	0	-300.06	0	-215.5	0	-301.06	0	-307.14	0
-300.7	0	-306.1	0	-299.98	0	-215.42	0	-300.98	0	-307.06	0
-300.62	0	-306.02	0	-299.9	0	-215.34	0	-300.9	0	-306.98	0
-300.54	0	-305.94	0	-299.82	0	-215.26	0	-300.82	0	-306.9	0
-300.46	0	-305.86	0	-299.74	0	-215.18	0	-300.74	0	-306.82	0
-300.38	0	-305.78	0	-299.66	0	-215.1	0	-300.66	0	-306.74	0
-300.3	0	-305.7	0	-299.58	0	-215.02	0	-300.58	0	-306.66	0
-300.22	0	-305.62	0	-299.5	0	-214.94	0	-300.5	0	-306.58	0
-300.14	0	-305.54	0	-299.42	0	-214.86	0	-300.42	0	-306.5	0
-300.06	0	-305.46	0	-299.34	0	-214.78	0	-300.34	0	-306.42	0
-299.98	0	-305.38	0	-299.26	0	-214.7	0	-300.26	0	-306.34	0
-299.9	0	-305.3	0	-299.18	0	-214.62	0	-300.18	0	-306.26	0
-299.82	0	-305.22	0	-299.1	0	-214.54	0	-300.1	0	-306.18	0
-299.74	0	-305.14	0	-299.02	0	-214.46	0	-300.02	0	-306.1	0
-299.66	0	-305.06	0	-298.94	0	-214.38	0	-299.94	0	-306.02	0
-299.58	0	-304.98	0	-298.86	0	-214.3	0	-299.86	0	-305.94	0
-299.5	0	-304.9	0	-298.78	0	-214.22	0	-299.78	0	-305.86	0
-299.42	0	-304.82	0	-298.7	0	-214.14	0	-299.7	0	-305.78	0
-299.34	0	-304.74	0	-298.62	0	-214.06	0	-299.62	0	-305.7	0
-299.26	0	-304.66	0	-298.54	0	-213.98	0	-299.54	0	-305.62	0
-299.18	0	-304.58	0	-298.46	0	-213.9	0	-299.46	0	-305.54	0
-299.1	0	-304.5	0	-298.38	0	-213.82	0	-299.38	0	-305.46	0
